timestamp,age21,age22,age23,<0.5hrs,0.5-1hrs,1-2Hrs,2-3hrs,>3hrs,มีผลต่อหัวใจ,นี่ฉันเอง,เสี่ยว,น้องเปิ้ล,แดงกับเขียว ,สายล่อฟ้า,FHERO,Love The Way You Lie,Turn Down for What,Voodoo,If ItAin't Dutch,Anubis
10/15/2019 9:37:23,1,0,0,0,0,0,0,1,60,70,80,100,90,70,80,80,70,80,90,80
10/15/2019 9:49:42,0,1,0,0,0,1,0,0,90,90,80,80,80,80,80,70,80,90,80,80
10/15/2019 9:55:36,1,0,0,0,0,0,0,1,100,100,100,80,90,90,100,100,100,90,90,90
10/15/2019 10:04:21,0,0,1,1,0,0,0,0,100,80,100,100,100,100,80,90,80,80,80,80
10/15/2019 10:10:39,0,1,0,0,0,1,0,0,100,100,100,100,100,100,100,100,100,80,70,70
10/15/2019 10:16:35,0,1,0,1,0,0,0,0,100,100,100,100,100,100,100,80,100,40,40,40
10/15/2019 10:23:49,1,0,0,0,1,0,0,0,100,90,80,80,80,80,90,90,90,90,80,90
10/15/2019 10:31:56,1,0,0,0,1,0,0,0,100,100,100,90,90,90,100,100,100,80,80,80
10/15/2019 10:42:36,1,0,0,0,0,0,1,0,100,90,100,60,70,70,90,90,70,70,50,70
10/15/2019 10:49:59,1,0,0,0,0,0,0,1,100,90,100,40,40,100,90,100,100,100,80,100
10/15/2019 10:57:34,0,1,0,0,0,1,0,0,90,90,100,100,100,100,100,100,100,100,100,80
10/15/2019 11:04:18,0,1,0,0,0,0,0,1,100,100,100,80,100,100,100,100,100,100,100,100
10/15/2019 11:12:10,1,0,0,1,0,0,0,0,100,90,80,70,70,100,90,100,90,80,70,90
10/15/2019 11:21:42,0,1,0,0,0,1,0,0,100,90,100,80,80,90,80,90,70,90,80,80
10/15/2019 11:34:14,0,1,0,0,0,1,0,0,100,100,100,90,100,100,100,80,90,90,90,90
10/25/2019 13:57:08,1,0,0,0,0,0,0,1,80,90,80,100,100,100,100,80,80,90,90,90
10/25/2019 13:58:09,0,1,0,0,0,1,0,0,100,100,100,100,100,100,90,80,90,80,80,80
10/25/2019 13:59:06,0,1,0,0,0,1,0,0,100,100,100,80,80,80,80,90,90,70,70,70
10/25/2019 14:00:11,1,0,0,0,0,0,0,1,100,100,100,80,80,80,100,90,90,90,90,100
10/25/2019 14:13:17,0,1,0,0,0,0,0,1,100,100,100,100,100,100,100,100,100,100,100,100
